restaurant_id,name,cuisine_type,city,area,avg_rating,total_reviews,price_for_two,is_pure_veg,delivery_radius_km,avg_prep_time_mins,monthly_orders,monthly_revenue,commission_pct,partner_since,is_active,restaurant_type
RST-920,MTR,South Indian,Bengaluru,Lalbagh,4.7,18200,350,Yes,4,20,6100,793000,20,2018-06-15,Yes,Casual Dining
RST-360,Domino's,Fast Food,Mumbai,Dadar,4.3,22400,500,No,5,18,9800,1470000,22,2018-03-01,Yes,QSR
RST-555,Spice Kitchen,North Indian,Pune,Aundh,4.2,4900,600,No,5,25,2700,594000,20,2021-12-18,Yes,Cloud Kitchen
RST-740,Oh! Calcutta,Bengali,Kolkata,Elgin Road,4.6,7800,1100,No,5,35,2100,882000,15,2020-01-08,Yes,Fine Dine
RST-830,Gujarat Bhawan,Gujarati,Ahmedabad,Bodakdev,4.3,5600,400,Yes,4,18,3400,476000,20,2021-05-20,Yes,Casual Dining
RST-250,Hammered,Pub Food,Bengaluru,Indiranagar,4.4,8900,1500,No,4,30,1800,810000,15,2020-10-15,Yes,Casual Dining
RST-645,Anjappar Chettinad,South Indian,Chennai,Mylapore,4.5,10200,500,No,4,22,3900,682500,20,2020-07-14,Yes,Fine Dine
RST-460,Pizza Hut,Fast Food,Hyderabad,Hitech City,4.2,13600,600,No,5,20,6200,992000,22,2019-04-30,Yes,QSR
RST-180,Bukhara,North Indian,Delhi NCR,ITC Maurya,4.8,5200,3000,No,5,40,800,720000,12,2019-08-20,Yes,Fine Dine
RST-930,Onesta,Fast Food,Bengaluru,JP Nagar,4.4,7100,500,No,5,16,4800,720000,22,2021-02-28,Yes,Casual Dining
RST-370,The Bombay Canteen,Fusion,Mumbai,Lower Parel,4.6,9800,1800,No,5,35,1600,864000,15,2020-05-10,Yes,Fine Dine
